slope ;  slope.sd ;  slope.p ;  DATA ;  Month ;  var ;  N ;  slope.stat_sig
  8.43238124 ;  4.01570353 ;  3.716754e-02 ;  ALL ;   1 ;  DIR_att ;  178 ;   96.28325
 12.08272730 ;  3.98696036 ;  2.844956e-03 ;  ALL ;   2 ;  DIR_att ;  163 ;   99.71550
 -2.57803675 ;  3.17782777 ;  4.182833e-01 ;  ALL ;   3 ;  DIR_att ;  183 ;   58.17167
 -6.00016007 ;  2.32541710 ;  1.062754e-02 ;  ALL ;   4 ;  DIR_att ;  192 ;   98.93725
  2.40829605 ;  1.73929697 ;  1.676397e-01 ;  ALL ;   5 ;  DIR_att ;  211 ;   83.23603
  0.47107159 ;  1.45237513 ;  7.460039e-01 ;  ALL ;   6 ;  DIR_att ;  209 ;   25.39961
  2.83865773 ;  1.50673287 ;  6.134805e-02 ;  ALL ;   7 ;  DIR_att ;  165 ;   93.86520
  0.97538348 ;  1.32612573 ;  4.631172e-01 ;  ALL ;   8 ;  DIR_att ;  160 ;   53.68828
  0.99229334 ;  2.21153323 ;  6.542009e-01 ;  ALL ;   9 ;  DIR_att ;  180 ;   34.57991
 -0.86818281 ;  2.91382113 ;  7.660843e-01 ;  ALL ;  10 ;  DIR_att ;  181 ;   23.39157
 -2.72899438 ;  4.27932909 ;  5.245119e-01 ;  ALL ;  11 ;  DIR_att ;  173 ;   47.54881
-10.89013405 ;  4.22081984 ;  1.074305e-02 ;  ALL ;  12 ;  DIR_att ;  168 ;   98.92570
  1.05724693 ;  0.19914551 ;  1.425235e-07 ;  ALL ;   1 ;  GLB_att ;  812 ;   99.99999
  0.33788674 ;  0.19381379 ;  8.166722e-02 ;  ALL ;   2 ;  GLB_att ;  778 ;   91.83328
  0.13212468 ;  0.17812568 ;  4.584458e-01 ;  ALL ;   3 ;  GLB_att ;  844 ;   54.15542
  0.35611116 ;  0.15059063 ;  1.827532e-02 ;  ALL ;   4 ;  GLB_att ;  816 ;   98.17247
  0.31912085 ;  0.11250117 ;  4.665430e-03 ;  ALL ;   5 ;  GLB_att ;  873 ;   99.53346
 -0.12466616 ;  0.07200341 ;  8.373712e-02 ;  ALL ;   6 ;  GLB_att ;  870 ;   91.62629
  0.27276119 ;  0.06121080 ;  9.488259e-06 ;  ALL ;   7 ;  GLB_att ;  834 ;   99.99905
  0.37063758 ;  0.06026378 ;  1.198474e-09 ;  ALL ;   8 ;  GLB_att ;  837 ;  100.00000
  0.18157763 ;  0.10849340 ;  9.457027e-02 ;  ALL ;   9 ;  GLB_att ;  855 ;   90.54297
  0.56256643 ;  0.16247134 ;  5.616189e-04 ;  ALL ;  10 ;  GLB_att ;  857 ;   99.94384
  0.73742245 ;  0.19210102 ;  1.331336e-04 ;  ALL ;  11 ;  GLB_att ;  827 ;   99.98669
  0.75230670 ;  0.20687891 ;  2.946434e-04 ;  ALL ;  12 ;  GLB_att ;  779 ;   99.97054
  2.02557042 ;  0.47684022 ;  6.277638e-05 ;  CLEAR ;   1 ;  DIR_att ;   75 ;   99.99372
  1.14086062 ;  0.63082880 ;  7.522509e-02 ;  CLEAR ;   2 ;  DIR_att ;   66 ;   92.47749
  0.14609151 ;  0.73881195 ;  8.437919e-01 ;  CLEAR ;   3 ;  DIR_att ;   76 ;   15.62081
